Ukprn,Name,ApplicationType,StartDate,Status,ApplicationDeterminedDate
10007726,YOUNG GLOUCESTERSHIRE LIMITED,Main provider,21/05/2025,,01/04/2025
10046911,NUTRIUS CENTRAL SERVICES LIMITED,Main provider,07/03/2025,,04/02/2025
10022805,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,Supporting provider,23/05/2025,,23/05/2025
10013987,MARY HARE T/A Mary Hare School,Main provider,22/05/2025,,01/05/2025
10010657,HAYS SPECIALIST RECRUITMENT LIMITED T/A Hays Skills Development,Main provider,22/05/2025,,01/04/2025
10055113,THE MEAD EDUCATIONAL TRUST T/A THE MEAD EDUCATIONAL TRUST (Academy Trust),Main provider,22/05/2025,,01/05/2025
10085366,ACCESS LAW ONLINE LTD,Main provider,21/05/2025,,01/04/2025
10097279,ECHO FIRE AND MEDICAL LIMITED,Main provider,21/05/2025,,01/05/2025
10000385,"ARTS UNIVERSITY BOURNEMOUTH, THE T/A The Arts University Bournemouth",Main provider,15/05/2025,,01/04/2025
10087487,LEE MARLEY BRICKWORK LIMITED,Main provider,15/05/2025,,01/04/2025
10090049,RUBITEK SOLUTIONS LIMITED T/A Everything Apprenticeships,Main provider,02/08/2024,,26/06/2024
10089591,WALBROOK INSTITUTE LONDON LIMITED,Main provider,28/07/2023,,26/05/2023
10006942,SHOOTS TRAINING LIMITED,Main provider,13/03/2017,,22/12/2021
10056407,THE INSTITUTE OF TELECOMMUNICATIONS PROFESSIONALS T/A The ITP,Main provider,02/05/2025,,04/02/2025
10011138,LEEDS TEACHING HOSPITALS NATIONAL HEALTH SERVICE TRUST T/A Pharmacy Dept Education And Training,Main provider,13/03/2017,,01/05/2025
10049431,ALPHABET TRAINING GROUP LTD,Main provider,13/03/2017,,30/09/2021
10040718,FIRST INTUITION SOUTH LIMITED T/A First Intuition South Limited,Main provider,13/03/2017,,31/05/2022
10064273,STANLEY LEARNING PARTNERSHIP T/A STANLEY LEARNING PARTNERSHIP (Academy Trust),Main provider,11/04/2025,,27/02/2025
10006289,ST PAUL'S CATHOLIC SCHOOL,Main provider,04/04/2025,,04/02/2025
10054768,PARK EDUCATION AND TRAINING CENTRE LIMITED,Main provider,06/02/2020,Not Currently Starting New Apprentices,30/06/2022
10060518,THE SEA VIEW TRUST T/A THE SEA VIEW TRUST (Academy Trust),Main provider,28/03/2025,,04/02/2025
10062581,KELLY COMMUNICATIONS LIMITED,Main provider,28/03/2025,,04/02/2025
10006022,SOUTHAMPTON SOLENT UNIVERSITY,Main provider,13/03/2017,,31/05/2022
10007469,WEYMOUTH AND KINGSTON MAURWARD COLLEGE,Main provider,13/03/2017,,23/02/2022
10032542,PLACES FOR PEOPLE GROUP LIMITED,Main provider,13/03/2025,,27/02/2025
10008434,PREMIER BOOKS LTD T/A Premier Training,Main provider,13/03/2025,,04/02/2025
10095709,MANOR GREEN SCHOOL,Main provider,13/03/2025,,27/02/2025
10088428,FUTURE INVESTMENTS GATE (FIG) LTD T/A Fig College,Main provider,07/03/2025,,04/02/2025
10023776,POSITIVE APPROACH ACADEMY FOR HAIR LIMITED,Main provider,13/03/2017,Not Currently Starting New Apprentices,23/02/2022
10095082,BRITISH CAR AUCTIONS LIMITED,Employer provider,27/02/2025,,04/02/2025
10083799,TPC HEALTH LTD,Main provider,27/02/2025,,04/02/2025
10004599,NCG T/A NCG,Main provider,13/03/2017,,24/02/2022
10054735,SPRINGFIELD TRAINING LIMITED,Main provider,30/01/2018,Not Currently Starting New Apprentices,31/05/2022
10096395,BLUESTONES MEDICAL COMPLEX CARE LIMITED T/A Bluestones Medical Complex Care T/A The Greenhouse,Employer provider,21/02/2025,,04/02/2025
10028056,PARTNERS 4 TRAINING LTD.,Main provider,21/02/2025,,04/02/2025
10058012,ACCIPIO LIMITED T/A AICURA,Main provider,13/03/2017,,26/01/2022
10056770,CEDARS TRAINING ACADEMY LTD T/A Cedars Training Academy Ltd,Main provider,26/08/2022,,29/06/2022
10046315,NATIONWIDE ENERGY TRAINING SERVICES LTD,Main provider,13/03/2017,,02/12/2021
10023326,IMPACT TRAINING SOLUTIONS LTD. T/A Impact Training Solutions,Main provider,07/02/2025,,28/11/2024
10057175,ELEVATED KNOWLEDGE LTD,Main provider,17/05/2017,Not Currently Starting New Apprentices,31/05/2022
10003956,LIVERPOOL HOPE UNIVERSITY,Main provider,05/02/2025,,28/11/2024
10059665,INSPIRING FUTURES PARTNERSHIP TRUST T/A INSPIRING FUTURES PARTNERSHIP TRUST (Academy Trust),Main provider,05/02/2025,,19/12/2024
10065693,DR ELAINE ANNE MUSTOE T/A Dental Nurse Academy,Main provider,05/02/2025,,19/12/2024
10006841,UNIVERSITY OF GREATER MANCHESTER,Main provider,17/05/2017,,31/03/2022
10087607,GET FURTHER LTD T/A Get Further,Supporting provider,03/02/2025,,03/02/2025
10096236,ENIGMA INDUSTRIAL SERVICES LTD,Employer provider,24/01/2025,,19/12/2024
10026672,SOLUTIONS 4 POLYMERS LIMITED,Main provider,24/01/2025,,19/12/2024
