ukprn,name,application_type,start_date,status,rating,inspection_date,company_number,address,turnover,net_profit,operating_profit,financial_year,company_status,incorporation_date,latest_accounts,persons_with_significant_control
10013987,MARY HARE T/A Mary Hare School,Main provider,22/05/2025,,,,,,,,,,,,,[]
10055113,THE MEAD EDUCATIONAL TRUST T/A THE MEAD EDUCATIONAL TRUST (Academy Trust),Main provider,22/05/2025,,,,,,,,,,,,,[]
10010657,HAYS SPECIALIST RECRUITMENT LIMITED T/A Hays Skills Development,Main provider,22/05/2025,,,,,,,,,,,,,[]
10000385,"ARTS UNIVERSITY BOURNEMOUTH, THE T/A The Arts University Bournemouth",Main provider,15/05/2025,,,,,,,,,,,,,[]
10022805,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,Supporting provider,23/05/2025,,Requires Improvement,19 October 2021,,"Tremona Road, Southampton, SO16 6YD",,,,,,,,[]
10007726,YOUNG GLOUCESTERSHIRE LIMITED,Main provider,21/05/2025,,,,01547097,,,,,,active,1981-02-24,,"[{'name': 'Sarah Jane Danson', 'date_of_birth': '11/1967', 'country_of_residence': 'England', 'nationality': 'British', 'address': 'The Old Dock Office, The Docks, Gloucester, GL1 2EB, England'}, {'name': 'James Patrick Tabor', 'date_of_birth': '5/1950', 'country_of_residence': 'England', 'nationality': 'British', 'address': 'The Old Dock Office, The Docks, Gloucester, GL1 2EB, England'}, {'name': 'Grant Leon', 'date_of_birth': '6/1967', 'country_of_residence': 'England', 'nationality': 'British', 'address': 'The Old Dock Office, The Docks, Gloucester, GL1 2EB, England'}, {'name': 'Simon Titterton', 'date_of_birth': '10/1971', 'country_of_residence': 'England', 'nationality': 'British', 'address': 'The Old Dock Office, The Docks, Gloucester, GL1 2EB, England'}, {'name': ""Catherine Jane O'Donoghue"", 'date_of_birth': '9/1967', 'country_of_residence': 'United Kingdom', 'nationality': 'British', 'address': 'The Old Dock Office, The Docks, Gloucester, GL1 2EB, England'}, {'name': 'Paul Holroyd', 'date_of_birth': '2/1964', 'country_of_residence': 'England', 'nationality': 'British', 'address': 'The Old Dock Office, The Docks, Gloucester, GL1 2EB, England'}, {'name': 'Simon John Mckeag', 'date_of_birth': '8/1976', 'country_of_residence': 'England', 'nationality': 'British', 'address': 'The Old Dock Office, The Docks, Gloucester, GL1 2EB, England'}, {'name': 'Camille Stallard', 'date_of_birth': '1/1968', 'country_of_residence': 'England', 'nationality': 'British', 'address': 'The Old Dock Office, The Docks, Gloucester, GL1 2EB, England'}, {'name': 'Martin David Moule', 'date_of_birth': '9/1955', 'country_of_residence': 'England', 'nationality': 'British', 'address': 'The Old Dock Office, The Docks, Gloucester, GL1 2EB, England'}, {'name': 'Valentine Mark Sheridan', 'date_of_birth': '3/1959', 'country_of_residence': 'England', 'nationality': 'British', 'address': 'The Old Dock Office, The Docks, Gloucester, GL1 2EB, England'}]"
10087487,LEE MARLEY BRICKWORK LIMITED,Main provider,15/05/2025,,,,03461567,,,,,,active,1997-11-06,,"[{'name': 'Lee Marley Group Holding Limited', 'date_of_birth': '/', 'country_of_residence': '', 'nationality': '', 'address': 'Unit 185, Viscount Way, Reading, RG5 4DZ, United Kingdom'}]"
10085366,ACCESS LAW ONLINE LTD,Main provider,21/05/2025,,,,11426418,,,,,,active,2018-06-21,,"[{'name': 'Louise Sinead Ainley', 'date_of_birth': '6/1977', 'country_of_residence': 'England', 'nationality': 'Irish', 'address': '2 Lake End Court, Taplow Road, Maidenhead, SL6 0JQ, England'}]"
10097279,ECHO FIRE AND MEDICAL LIMITED,Main provider,21/05/2025,,,,10443978,,,,,,active,2016-10-25,,"[{'name': 'Joseph Adam Leary', 'date_of_birth': '8/1986', 'country_of_residence': 'England', 'nationality': 'English', 'address': 'Unit 12 & 13 Chambers Way, Thorncliffe Industrial Estate, Sheffield, S35 2PH, England'}]"
10046911,NUTRIUS CENTRAL SERVICES LIMITED,Main provider,07/03/2025,,,,06023385,,,,,,active,2006-12-08,,"[{'name': 'Nutrius Uk Bidco Limited', 'date_of_birth': '/', 'country_of_residence': '', 'nationality': '', 'address': 'Malvern View, Saxon Business Park, Hanbury Road, Bromsgrove, B60 4AD, England'}]"
10056407,THE INSTITUTE OF TELECOMMUNICATIONS PROFESSIONALS T/A The ITP,Main provider,02/05/2025,,,,,,,,,,,,,[]
10090049,RUBITEK SOLUTIONS LIMITED T/A Everything Apprenticeships,Main provider,02/08/2024,,,,,,,,,,,,,[]
10011138,LEEDS TEACHING HOSPITALS NATIONAL HEALTH SERVICE TRUST T/A Pharmacy Dept Education And Training,Main provider,13/03/2017,,,,,,,,,,,,,[]
10064273,STANLEY LEARNING PARTNERSHIP T/A STANLEY LEARNING PARTNERSHIP (Academy Trust),Main provider,11/04/2025,,,,,,,,,,,,,[]
10040718,FIRST INTUITION SOUTH LIMITED T/A First Intuition South Limited,Main provider,13/03/2017,,,,,,,,,,,,,[]
10049431,ALPHABET TRAINING GROUP LTD,Main provider,13/03/2017,,Requires Improvement,16 August 2023,,"Central Buildings, Richmond Terrace, Blackburn, BB1 7AP",,,,,,,,[]
10060518,THE SEA VIEW TRUST T/A THE SEA VIEW TRUST (Academy Trust),Main provider,28/03/2025,,,,,,,,,,,,,[]
10006942,SHOOTS TRAINING LIMITED,Main provider,13/03/2017,,Good,25 July 2023,04799102,"3 Wollaston Road, Bournemouth, BH6 4AR",,,,,active,2003-06-13,,"[{'name': 'Hadland Sustainable Education Group Limited', 'date_of_birth': '/', 'country_of_residence': '', 'nationality': '', 'address': '3, Wollaston Road, Bournemouth, BH6 4AR, England'}]"
10089591,WALBROOK INSTITUTE LONDON LIMITED,Main provider,28/07/2023,,Requires Improvement,14 February 2024,13621269,"8th Floor, Peninsular House, 36 Monument Street, London, EC3R 8LJ",,,,,active,2021-09-14,,[]
10062581,KELLY COMMUNICATIONS LIMITED,Main provider,28/03/2025,,,,02266230,,,,,,active,1988-06-09,,"[{'name': 'Kelly Communications Trading Group Limited', 'date_of_birth': '/', 'country_of_residence': '', 'nationality': '', 'address': 'Kelly House, Fourth Way, Wembley, HA9 0LH, United Kingdom'}]"
10006289,ST PAUL'S CATHOLIC SCHOOL,Main provider,04/04/2025,,,,,"Phoenix Drive, Leadenhall, Milton Keynes, Buckinghamshire, MK6 5EN",,,,,,,,[]
10007469,WEYMOUTH AND KINGSTON MAURWARD COLLEGE,Main provider,13/03/2017,,,,,"Cranford Avenue, Weymouth, Dorset, DT4 7LQ",,,,,,,,[]
10006022,SOUTHAMPTON SOLENT UNIVERSITY,Main provider,13/03/2017,,Good,21 January 2025,,"East Park Terrace, Southampton, Hampshire, SO14 0YN",,,,,,,,[]
10088428,FUTURE INVESTMENTS GATE (FIG) LTD T/A Fig College,Main provider,07/03/2025,,,,,,,,,,,,,[]
10023776,POSITIVE APPROACH ACADEMY FOR HAIR LIMITED,Main provider,13/03/2017,Not Currently Starting New Apprentices,,,,,,,,,,,,[]
10054768,PARK EDUCATION AND TRAINING CENTRE LIMITED,Main provider,06/02/2020,Not Currently Starting New Apprentices,Requires Improvement,5 July 2023,06415600,"Kingsbury House, 468 Church Lane, London, NW9 8UA",,,,,active,2007-11-01,,"[{'name': 'Aiah Philip Kanda', 'date_of_birth': '12/1956', 'country_of_residence': 'England', 'nationality': 'British', 'address': 'G8, Kingsbury House, 468 Church Lane, Kingsbury, NW9 8UA, United Kingdom'}]"
10095709,MANOR GREEN SCHOOL,Main provider,13/03/2025,,Good,3 July 2024,,"Elizabeth Hawkes Way, Maidenhead, SL6 3EQ",,,,,,,,[]
10032542,PLACES FOR PEOPLE GROUP LIMITED,Main provider,13/03/2025,,,,03777037,,,,,,active,1999-05-20,,[]
10004599,NCG T/A NCG,Main provider,13/03/2017,,,,,,,,,,,,,[]
10056770,CEDARS TRAINING ACADEMY LTD T/A Cedars Training Academy Ltd,Main provider,26/08/2022,,,,,,,,,,,,,[]
10023326,IMPACT TRAINING SOLUTIONS LTD. T/A Impact Training Solutions,Main provider,07/02/2025,,,,,,,,,,,,,[]
10083799,TPC HEALTH LTD,Main provider,27/02/2025,,,,10500540,,,,,,active,2016-11-28,,"[{'name': 'Andrew James Mcdowell', 'date_of_birth': '9/1968', 'country_of_residence': 'England', 'nationality': 'Australian', 'address': '29 Gildredge Road, Eastbourne, BN21 4RU, United Kingdom'}, {'name': 'Charles John Brook', 'date_of_birth': '10/1960', 'country_of_residence': 'Wales', 'nationality': 'British', 'address': '29 Gildredge Road, Eastbourne, BN21 4RU, United Kingdom'}]"
